epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.8091,2.64839,5.23106,1.37017,0.00158,0.00075,0.00089,0.00043,2.73651,4.91727,1.12764,9.51915e-05,9.51915e-05,9.51915e-05
2,115.982,2.59008,4.86251,1.20513,0.01043,0.01473,0.00846,0.00366,2.68844,4.32066,1.10552,0.000181094,0.000181094,0.000181094
3,171.028,2.61084,4.44412,1.17049,0.01076,0.02841,0.01126,0.00474,2.79636,3.76661,1.09466,0.000257558,0.000257558,0.000257558
4,225.408,2.6575,4.15304,1.16489,0.01398,0.04024,0.01372,0.0057,2.72283,3.56752,1.07676,0.000243529,0.000243529,0.000243529
5,281.281,2.61292,3.87465,1.16267,0.34145,0.02418,0.01573,0.00645,2.7428,3.12519,1.06895,0.000229372,0.000229372,0.000229372
6,337.753,2.58869,3.70899,1.13956,0.39285,0.02445,0.01881,0.00781,2.71699,3.05498,1.06849,0.000215215,0.000215215,0.000215215
7,393.646,2.65568,3.58979,1.14628,0.34646,0.02478,0.02017,0.00858,2.70069,2.83593,1.05236,0.000201058,0.000201058,0.000201058
8,450.385,2.63765,3.4817,1.14114,0.01803,0.07505,0.02065,0.0086,2.7319,2.9485,1.06168,0.000186901,0.000186901,0.000186901
9,508.4,2.62165,3.35725,1.12441,0.25492,0.02461,0.02193,0.00892,2.77461,2.78577,1.0511,0.000172744,0.000172744,0.000172744
10,567.436,2.62005,3.31587,1.13798,0.25898,0.02958,0.02362,0.00999,2.69707,2.6798,1.04816,0.000158587,0.000158587,0.000158587
11,625.568,2.72309,3.40731,1.09752,0.34788,0.02579,0.02402,0.01012,2.67083,2.58552,1.03659,0.00014443,0.00014443,0.00014443
12,682.555,2.69474,3.30346,1.09317,0.39077,0.02667,0.02345,0.01008,2.65521,2.57833,1.0303,0.000130273,0.000130273,0.000130273
13,737.938,2.67696,3.26508,1.09247,0.34886,0.03334,0.02392,0.01006,2.65995,2.59253,1.03214,0.000116116,0.000116116,0.000116116
14,793.662,2.63186,3.26036,1.08425,0.30147,0.03111,0.02225,0.00929,2.63991,2.64264,1.05412,0.000101959,0.000101959,0.000101959
15,849.371,2.6571,3.19686,1.08749,0.34878,0.02939,0.0223,0.00925,2.6687,2.66041,1.04667,8.7802e-05,8.7802e-05,8.7802e-05
16,903.287,2.6345,3.1726,1.08309,0.301,0.02837,0.02341,0.00963,2.68731,2.62813,1.04549,7.3645e-05,7.3645e-05,7.3645e-05
17,957.278,2.62233,3.14326,1.07662,0.30053,0.03073,0.02324,0.00968,2.64398,2.60404,1.04898,5.9488e-05,5.9488e-05,5.9488e-05
18,1011.18,2.64584,3.10076,1.07771,0.34633,0.02909,0.02347,0.00984,2.66795,2.6062,1.04623,4.5331e-05,4.5331e-05,4.5331e-05
19,1065.42,2.62939,3.10522,1.06711,0.35194,0.03358,0.0253,0.01079,2.64833,2.52387,1.04437,3.1174e-05,3.1174e-05,3.1174e-05
20,1119.88,2.61409,3.09146,1.06976,0.3154,0.03125,0.02415,0.01023,2.66454,2.56427,1.0419,1.7017e-05,1.7017e-05,1.7017e-05
