epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6742,2.08368,4.25991,1.47624,0.40707,0.08876,0.04924,0.03019,1.98531,3.25957,1.41011,0.000166067,0.000166067,0.000166067
2,104.013,2.07141,3.55238,1.3781,0.45303,0.10688,0.07111,0.04281,1.9614,2.98159,1.40714,0.000316263,0.000316263,0.000316263
3,152.361,2.10602,3.22327,1.38505,0.28725,0.12546,0.09165,0.05614,1.96722,2.67992,1.38265,0.00044996,0.00044996,0.00044996
4,200.561,2.06261,2.99097,1.36957,0.23736,0.21606,0.10379,0.06025,1.94586,2.60871,1.39691,0.00042575,0.00042575,0.00042575
5,249.545,2.05836,2.8394,1.3563,0.3496,0.1845,0.11454,0.06895,1.92352,2.4346,1.36212,0.000401,0.000401,0.000401
6,299.022,2.02136,2.68691,1.33841,0.21466,0.24436,0.12737,0.07896,1.9126,2.66482,1.3857,0.00037625,0.00037625,0.00037625
7,347.843,2.01063,2.65336,1.34712,0.27968,0.22734,0.14899,0.08969,1.91479,2.39512,1.37535,0.0003515,0.0003515,0.0003515
8,396.674,2.02832,2.55191,1.32402,0.26762,0.21021,0.13755,0.08463,1.8807,2.35237,1.35702,0.00032675,0.00032675,0.00032675
9,445.233,1.94876,2.52312,1.33023,0.30716,0.22118,0.16175,0.1035,1.87049,2.20862,1.36199,0.000302,0.000302,0.000302
10,494.834,1.9535,2.45719,1.31707,0.32522,0.27967,0.18125,0.1186,1.85406,2.13803,1.35635,0.00027725,0.00027725,0.00027725
11,544.054,1.99344,2.68728,1.37906,0.30723,0.24177,0.15283,0.09457,1.85927,2.30917,1.35531,0.0002525,0.0002525,0.0002525
12,592.571,1.96299,2.56503,1.3746,0.30222,0.2721,0.1926,0.12478,1.84241,2.19577,1.34298,0.00022775,0.00022775,0.00022775
13,640.606,1.91663,2.55341,1.36756,0.31208,0.27099,0.19843,0.12917,1.84798,2.16563,1.3484,0.000203,0.000203,0.000203
14,688.991,1.93166,2.5086,1.35737,0.33949,0.28669,0.20414,0.13382,1.82554,2.17077,1.31918,0.00017825,0.00017825,0.00017825
15,737.079,1.94175,2.48141,1.34732,0.34504,0.29203,0.21954,0.14404,1.84705,2.20542,1.33122,0.0001535,0.0001535,0.0001535
16,785.554,1.90185,2.43356,1.3288,0.47864,0.27435,0.24519,0.15831,1.8404,2.09653,1.32228,0.00012875,0.00012875,0.00012875
17,833.494,1.93935,2.36682,1.31427,0.38679,0.29582,0.24163,0.1613,1.82621,2.04563,1.31571,0.000104,0.000104,0.000104
18,881.335,1.90099,2.3643,1.32234,0.48999,0.27364,0.25096,0.16726,1.82751,2.0263,1.31484,7.925e-05,7.925e-05,7.925e-05
19,929.032,1.89339,2.34394,1.3002,0.55281,0.25205,0.25687,0.17036,1.82459,2.05491,1.30765,5.45e-05,5.45e-05,5.45e-05
20,976.699,1.87358,2.33773,1.30463,0.46286,0.26814,0.24506,0.16376,1.82602,2.07091,1.31476,2.975e-05,2.975e-05,2.975e-05
