epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2316,3.03947,5.74751,1.2135,0.03725,0.03111,0.01292,0.00467,3.46537,3.26106,1.08702,0.000474458,0.000474458,0.000474458
2,77.9991,3.25824,4.4249,1.13983,0.01823,0.07378,0.01912,0.00719,3.32657,3.18259,1.05187,0.000903727,0.000903727,0.000903727
3,116.911,3.18507,4.42459,1.14383,0.43456,0.05125,0.02862,0.01083,3.31513,2.71627,1.04492,0.00128584,0.00128584,0.00128584
4,154.965,3.27947,4.42925,1.11221,0.45702,0.03525,0.02613,0.01004,3.36202,2.99103,1.03522,0.00121679,0.00121679,0.00121679
5,193.589,3.07399,4.15881,1.12594,0.45908,0.03645,0.02929,0.01091,3.25527,2.64691,1.04401,0.00114606,0.00114606,0.00114606
6,232.262,3.2135,3.88491,1.11995,0.43984,0.03738,0.03145,0.01245,3.29372,2.71329,1.0129,0.00107532,0.00107532,0.00107532
7,270.976,3.26074,3.83152,1.11797,0.40722,0.02387,0.01875,0.00664,3.72914,2.92065,0.99018,0.00100459,0.00100459,0.00100459
8,309.363,3.20863,3.71846,1.09111,0.51594,0.04199,0.03864,0.01451,3.33078,2.5956,1.0002,0.000933851,0.000933851,0.000933851
9,348.569,3.09348,3.49134,1.08107,0.48316,0.0526,0.03923,0.01481,3.34598,2.42514,0.98922,0.000863116,0.000863116,0.000863116
10,387.235,3.16379,3.48181,1.09726,0.51115,0.04608,0.04231,0.01685,3.29278,2.43594,0.99632,0.00079238,0.00079238,0.00079238
11,425.747,3.05887,3.76147,1.10665,0.17512,0.05361,0.04397,0.01674,3.22309,2.49738,0.97645,0.000721645,0.000721645,0.000721645
12,464.138,3.04917,3.53493,1.09326,0.50702,0.05038,0.04084,0.01557,3.27526,2.43573,0.9782,0.000650909,0.000650909,0.000650909
13,502.435,3.01169,3.54274,1.09328,0.17901,0.04863,0.04601,0.01809,3.21458,2.44801,0.97333,0.000580174,0.000580174,0.000580174
14,540.449,3.06851,3.44561,1.07581,0.22902,0.05003,0.05318,0.02077,3.25875,2.41447,0.97652,0.000509438,0.000509438,0.000509438
15,578.622,2.93675,3.30169,1.07051,0.57686,0.03552,0.0416,0.01628,3.35572,2.5469,0.97313,0.000438703,0.000438703,0.000438703
16,616.73,2.9794,3.34556,1.06876,0.53908,0.04584,0.04662,0.01896,3.28187,2.46562,0.97441,0.000367967,0.000367967,0.000367967
17,655.478,2.98515,3.20623,1.06592,0.20975,0.04375,0.04492,0.01726,3.33446,2.43323,0.96511,0.000297232,0.000297232,0.000297232
18,694.213,2.95951,3.14389,1.07299,0.21665,0.04968,0.05017,0.01983,3.19481,2.40646,0.9618,0.000226497,0.000226497,0.000226497
19,732.329,2.90095,3.13411,1.05806,0.20593,0.04845,0.05126,0.0196,3.20938,2.40252,0.95199,0.000155761,0.000155761,0.000155761
20,770.83,2.82555,3.03083,1.04631,0.20428,0.04519,0.04974,0.01925,3.22598,2.4288,0.95434,8.50255e-05,8.50255e-05,8.50255e-05
