epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7491,2.36872,3.27185,1.31724,1,0.24247,0.53577,0.40003,0.83526,2.02669,0.97185,0.000471753,0.000471753,0.000471753
2,56.2631,2.39449,2.42769,1.2127,0.98623,0.375,0.48805,0.37787,1.00878,1.28886,1.09134,0.000901156,0.000901156,0.000901156
3,81.8025,2.33337,2.22294,1.23699,0.65321,0.125,0.20341,0.14929,1.1002,2.71,1.31223,0.0012834,0.0012834,0.0012834
4,106.959,2.32535,2.12425,1.22877,0.97977,0.375,0.45583,0.37324,0.90902,1.52137,1.15581,0.00121679,0.00121679,0.00121679
5,132.108,2.2001,1.9982,1.19909,0.9904,0.5,0.50907,0.41202,0.99552,2.69777,1.26866,0.00114606,0.00114606,0.00114606
6,157.437,2.20389,1.93584,1.19833,0.99321,0.5,0.50396,0.41742,1.13325,1.56329,1.1791,0.00107532,0.00107532,0.00107532
7,183.443,2.23058,1.93125,1.17714,1,0.4867,0.50183,0.43639,0.8945,1.61553,1.16925,0.00100459,0.00100459,0.00100459
8,209.203,2.15421,1.86297,1.19107,1,0.36973,0.51095,0.43958,0.938,1.9982,1.23059,0.000933851,0.000933851,0.000933851
9,235.196,2.18418,1.83338,1.17207,0.99647,0.5,0.50935,0.39097,0.92273,1.6105,1.14373,0.000863116,0.000863116,0.000863116
10,260.58,2.15377,1.79871,1.1668,0.99209,0.5,0.50786,0.43107,0.91399,1.18528,1.2404,0.00079238,0.00079238,0.00079238
11,286.104,2.19491,1.97062,1.19567,0.98848,0.5,0.4975,0.4141,0.81922,1.11506,1.14897,0.000721645,0.000721645,0.000721645
12,311.096,2.13999,1.84155,1.19663,0.99497,0.5,0.4975,0.39867,0.95914,1.91678,1.27058,0.000650909,0.000650909,0.000650909
13,336.239,2.14487,1.76975,1.15651,0.95548,0.5,0.4975,0.44525,0.83466,1.8147,1.23694,0.000580174,0.000580174,0.000580174
14,361.288,2.13828,1.74481,1.17558,1,0.48586,0.50655,0.41514,0.94744,1.95986,1.3336,0.000509438,0.000509438,0.000509438
15,386.369,2.08305,1.69428,1.15502,0.98877,0.5,0.50856,0.37082,0.96786,1.64808,1.2116,0.000438703,0.000438703,0.000438703
16,411.537,2.12412,1.67812,1.15531,0.98567,0.5,0.54725,0.4776,0.7598,1.51775,1.2111,0.000367967,0.000367967,0.000367967
17,436.526,2.09453,1.67771,1.15826,1,0.49216,0.50994,0.45273,0.69974,1.67601,1.12176,0.000297232,0.000297232,0.000297232
18,461.468,2.08717,1.6008,1.12773,0.91732,0.5,0.4975,0.44775,0.73875,2.02319,1.11892,0.000226497,0.000226497,0.000226497
19,486.432,2.0612,1.61957,1.1284,0.98285,0.5,0.50765,0.41568,0.77424,1.88723,1.13816,0.000155761,0.000155761,0.000155761
20,511.493,2.07466,1.62954,1.14291,0.99461,0.5,0.50593,0.4153,0.82789,1.91143,1.15082,8.50255e-05,8.50255e-05,8.50255e-05
