epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2907,2.04519,3.02272,1.43033,0.27895,0.29276,0.19816,0.08646,1.97886,2.37022,1.37705,0.000472397,0.000472397,0.000472397
2,67.3109,1.90529,2.17261,1.31749,0.45636,0.42649,0.36281,0.15528,2.00486,2.03908,1.40859,0.000929945,0.000929945,0.000929945
3,96.5628,1.85684,1.99509,1.31834,0.5512,0.43184,0.45575,0.2116,1.92889,1.90556,1.37256,0.00136863,0.00136863,0.00136863
4,125.497,1.81883,1.87596,1.28534,0.5648,0.4929,0.49247,0.23116,1.90464,1.78853,1.35465,0.00134412,0.00134412,0.00134412
5,155.285,1.77094,1.77579,1.27215,0.55372,0.52705,0.50905,0.23616,1.86301,1.77916,1.30728,0.00131582,0.00131582,0.00131582
6,184.944,1.7652,1.71212,1.27465,0.59081,0.52639,0.55789,0.2684,1.85306,1.65664,1.32656,0.00128753,0.00128753,0.00128753
7,214.37,1.75029,1.7177,1.25063,0.62294,0.54727,0.58245,0.27785,1.85419,1.63124,1.32671,0.00125923,0.00125923,0.00125923
8,243.418,1.69671,1.61828,1.25802,0.59852,0.52861,0.5719,0.26275,1.84391,1.61333,1.30083,0.00123094,0.00123094,0.00123094
9,272.44,1.70553,1.52295,1.22946,0.65505,0.58689,0.60498,0.29379,1.82366,1.43223,1.2988,0.00120265,0.00120265,0.00120265
10,301.524,1.68694,1.52392,1.23559,0.66737,0.54402,0.58161,0.27367,1.81787,1.46901,1.27331,0.00117435,0.00117435,0.00117435
11,330.513,1.66926,1.45283,1.21849,0.59969,0.60935,0.56752,0.25756,1.85383,1.46522,1.28029,0.00114606,0.00114606,0.00114606
12,359.543,1.67022,1.4128,1.21447,0.69161,0.57115,0.61254,0.28904,1.82622,1.43143,1.2872,0.00111776,0.00111776,0.00111776
13,388.511,1.67686,1.40652,1.21732,0.70675,0.59413,0.62532,0.29327,1.82771,1.40053,1.2978,0.00108947,0.00108947,0.00108947
14,417.636,1.6245,1.39926,1.19104,0.67722,0.57375,0.62279,0.28826,1.83265,1.41414,1.28844,0.00106118,0.00106118,0.00106118
15,446.644,1.66897,1.37995,1.21241,0.70856,0.59536,0.63141,0.29851,1.82624,1.33823,1.27915,0.00103288,0.00103288,0.00103288
16,475.738,1.62285,1.35659,1.19785,0.68515,0.56755,0.61337,0.29702,1.8068,1.41515,1.27281,0.00100459,0.00100459,0.00100459
17,504.607,1.58139,1.30613,1.18807,0.71688,0.58152,0.6249,0.29938,1.82719,1.37043,1.28286,0.000976293,0.000976293,0.000976293
18,533.684,1.6173,1.27654,1.17867,0.70001,0.62141,0.65572,0.31618,1.7985,1.29457,1.27197,0.000947999,0.000947999,0.000947999
19,562.605,1.55616,1.21696,1.17879,0.71371,0.60003,0.62456,0.3115,1.80536,1.34597,1.28077,0.000919704,0.000919704,0.000919704
20,591.486,1.58705,1.2747,1.17838,0.74334,0.57716,0.63199,0.3039,1.83074,1.33116,1.28992,0.00089141,0.00089141,0.00089141
21,620.348,1.55584,1.23755,1.16898,0.6924,0.61062,0.63661,0.30861,1.78902,1.27102,1.26289,0.000863116,0.000863116,0.000863116
22,649.229,1.57488,1.23018,1.16844,0.70303,0.61551,0.65779,0.32518,1.80937,1.30646,1.28004,0.000834822,0.000834822,0.000834822
23,678.007,1.5337,1.17576,1.17128,0.75548,0.59649,0.66366,0.31465,1.82746,1.27423,1.27971,0.000806528,0.000806528,0.000806528
24,706.874,1.53204,1.15253,1.15095,0.72928,0.63061,0.67021,0.32711,1.80469,1.22718,1.25621,0.000778233,0.000778233,0.000778233
25,735.908,1.52154,1.15413,1.15704,0.72453,0.61328,0.66086,0.32203,1.80295,1.26515,1.27098,0.000749939,0.000749939,0.000749939
26,764.407,1.51805,1.12324,1.14096,0.73841,0.63627,0.67732,0.33051,1.80419,1.20286,1.26866,0.000721645,0.000721645,0.000721645
27,793.007,1.51037,1.10653,1.14475,0.74409,0.6307,0.67082,0.32072,1.81861,1.24706,1.29102,0.000693351,0.000693351,0.000693351
28,821.533,1.52553,1.1081,1.14385,0.72605,0.63749,0.68425,0.31647,1.82779,1.2179,1.27517,0.000665057,0.000665057,0.000665057
29,850.167,1.50253,1.08275,1.1285,0.74404,0.6503,0.68282,0.33579,1.79281,1.21794,1.26516,0.000636762,0.000636762,0.000636762
30,878.734,1.48642,1.06818,1.13608,0.73281,0.64177,0.68549,0.33026,1.81243,1.19168,1.27741,0.000608468,0.000608468,0.000608468
31,907.216,1.48545,1.02953,1.12138,0.74606,0.62786,0.68539,0.33696,1.80116,1.20332,1.26438,0.000580174,0.000580174,0.000580174
32,935.935,1.45662,1.01352,1.10524,0.71891,0.6291,0.67474,0.33275,1.78584,1.1829,1.26569,0.00055188,0.00055188,0.00055188
33,964.477,1.45781,1.01546,1.12583,0.75171,0.63248,0.68628,0.33651,1.79024,1.1702,1.255,0.000523586,0.000523586,0.000523586
34,992.998,1.47281,1.01683,1.11673,0.76105,0.62287,0.69252,0.34574,1.79572,1.15802,1.27064,0.000495291,0.000495291,0.000495291
35,1021.62,1.46724,1.01386,1.1226,0.76147,0.64299,0.6971,0.34888,1.79352,1.14414,1.26676,0.000466997,0.000466997,0.000466997
36,1050.26,1.48617,0.98933,1.1136,0.72538,0.67172,0.70524,0.34851,1.77221,1.1097,1.24609,0.000438703,0.000438703,0.000438703
37,1078.91,1.43603,0.96342,1.10518,0.75518,0.63123,0.69911,0.35151,1.76745,1.11046,1.25095,0.000410409,0.000410409,0.000410409
38,1107.43,1.41405,0.95901,1.09895,0.75596,0.64634,0.69132,0.35101,1.78043,1.12137,1.25235,0.000382115,0.000382115,0.000382115
