epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0491,2.40478,3.30306,1.37828,1,0.22793,0.51396,0.42255,0.91103,2.42478,1.0994,0.000474043,0.000474043,0.000474043
2,69.8771,2.31569,2.64404,1.32424,0.02766,1,0.33864,0.24542,0.76955,2.42331,1.08452,0.000903333,0.000903333,0.000903333
3,100.789,2.36863,2.4381,1.27228,0.75126,0.375,0.41268,0.29381,1.39891,2.17174,1.60918,0.00128547,0.00128547,0.00128547
4,131.582,2.32445,2.36969,1.27989,0.9439,0.5,0.50315,0.40605,1.01753,2.07851,1.2092,0.00121679,0.00121679,0.00121679
5,162.083,2.26639,2.21039,1.25818,0.88976,0.4488,0.4725,0.36627,1.20175,2.07421,1.3809,0.00114606,0.00114606,0.00114606
6,192.976,2.27404,2.13887,1.25681,0.99833,0.5,0.4975,0.3795,1.0792,1.53998,1.41494,0.00107532,0.00107532,0.00107532
7,223.842,2.29737,2.11758,1.25124,0.87813,0.5,0.48855,0.35748,1.49152,1.46561,1.62365,0.00100459,0.00100459,0.00100459
8,254.645,2.17846,2.04233,1.22725,0.99182,0.5,0.51466,0.42369,0.99094,1.80952,1.32203,0.000933851,0.000933851,0.000933851
9,285.518,2.2399,1.9499,1.23173,1,0.49058,0.4975,0.35557,1.13466,1.8717,1.33871,0.000863116,0.000863116,0.000863116
10,316.323,2.16647,1.9898,1.20783,1,0.49446,0.50413,0.4362,1.05054,1.92765,1.30575,0.00079238,0.00079238,0.00079238
11,347.123,2.26428,2.17693,1.28487,1,0.46102,0.4975,0.40239,0.96862,2.02523,1.55086,0.000721645,0.000721645,0.000721645
12,377.56,2.19463,2.01753,1.23152,0.9854,0.5,0.4975,0.43037,1.28898,2.31387,1.50767,0.000650909,0.000650909,0.000650909
13,407.957,2.19266,1.94742,1.22873,0.98817,0.5,0.4975,0.44775,1.13252,1.89691,1.5164,0.000580174,0.000580174,0.000580174
14,438.389,2.21193,1.93232,1.24439,0.98291,0.5,0.53304,0.42967,0.98317,1.88223,1.36741,0.000509438,0.000509438,0.000509438
15,468.374,2.16618,1.86515,1.23335,0.98812,0.5,0.51527,0.41878,0.95645,1.74074,1.26348,0.000438703,0.000438703,0.000438703
16,498.506,2.15402,1.82302,1.22337,0.99213,0.5,0.51913,0.41698,1.14916,2.68848,1.27197,0.000367967,0.000367967,0.000367967
17,528.553,2.14286,1.8633,1.23023,0.96322,0.375,0.49413,0.39909,1.16378,2.45815,1.26315,0.000297232,0.000297232,0.000297232
18,558.512,2.13707,1.8519,1.19676,0.98472,0.5,0.51527,0.4166,1.04925,2.291,1.30832,0.000226497,0.000226497,0.000226497
19,588.477,2.10999,1.73456,1.19995,0.9765,0.5,0.51171,0.42762,0.90522,2.48319,1.23032,0.000155761,0.000155761,0.000155761
20,618.539,2.10249,1.75413,1.2004,0.98749,0.5,0.50809,0.41594,0.94401,2.42671,1.21843,8.50255e-05,8.50255e-05,8.50255e-05
