epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.51,1.73718,2.30723,1.23946,0.6717,0.59278,0.64069,0.3512,1.5834,1.45957,1.17668,0.000475381,0.000475381,0.000475381
2,269.193,1.57021,1.50555,1.13961,0.73299,0.63565,0.70786,0.39655,1.51445,1.27675,1.17701,0.000942292,0.000942292,0.000942292
3,397.734,1.51613,1.34875,1.12437,0.7397,0.69194,0.74162,0.44025,1.48578,1.16899,1.14423,0.00139977,0.00139977,0.00139977
4,525.271,1.48345,1.24296,1.1105,0.74735,0.7128,0.76057,0.44306,1.48978,1.10358,1.147,0.00138656,0.00138656,0.00138656
5,652.428,1.47228,1.15734,1.099,0.74073,0.71762,0.74567,0.45687,1.41324,1.04425,1.11686,0.00137241,0.00137241,0.00137241
6,779.629,1.44479,1.11929,1.09523,0.79672,0.72714,0.79003,0.48521,1.41502,1.03833,1.09869,0.00135826,0.00135826,0.00135826
7,906.777,1.42063,1.06648,1.08156,0.81069,0.74415,0.81876,0.51001,1.38303,0.97211,1.08651,0.00134412,0.00134412,0.00134412
8,1034.01,1.42748,1.04796,1.07736,0.8211,0.76149,0.81983,0.51939,1.37135,0.92334,1.08429,0.00132997,0.00132997,0.00132997
9,1161.19,1.39675,1.0124,1.06562,0.83115,0.75335,0.8233,0.52119,1.36026,0.91541,1.07953,0.00131582,0.00131582,0.00131582
10,1288.28,1.37727,0.9845,1.06458,0.81607,0.75999,0.8159,0.50307,1.38756,0.93699,1.07789,0.00130168,0.00130168,0.00130168
11,1415.62,1.36685,0.9501,1.05701,0.78622,0.76467,0.83062,0.52256,1.36341,0.90821,1.06547,0.00128753,0.00128753,0.00128753
12,1542.75,1.35298,0.94902,1.05132,0.82873,0.77974,0.84124,0.5444,1.34091,0.8591,1.07102,0.00127338,0.00127338,0.00127338
13,1669.9,1.35611,0.91624,1.05333,0.8505,0.77734,0.85681,0.56455,1.31809,0.81032,1.05325,0.00125923,0.00125923,0.00125923
14,1797.06,1.34269,0.90066,1.04693,0.80905,0.78166,0.84282,0.55978,1.29326,0.81621,1.04464,0.00124509,0.00124509,0.00124509
15,1924.27,1.32425,0.87363,1.0316,0.83433,0.7846,0.85446,0.56969,1.3085,0.79229,1.04011,0.00123094,0.00123094,0.00123094
