epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.418,1.72329,2.32036,1.23196,0.60392,0.5689,0.57325,0.30281,1.58841,1.52533,1.15158,0.000475381,0.000475381,0.000475381
2,284.468,1.56781,1.49627,1.14129,0.70717,0.60491,0.66159,0.37838,1.53542,1.34037,1.14114,0.000942292,0.000942292,0.000942292
3,412.419,1.51707,1.35501,1.11908,0.74294,0.65812,0.71233,0.41438,1.53903,1.15575,1.13495,0.00139977,0.00139977,0.00139977
4,540.028,1.49971,1.26751,1.11039,0.74796,0.71617,0.76202,0.45246,1.46247,1.0681,1.10185,0.00138656,0.00138656,0.00138656
5,667.328,1.46156,1.18202,1.09818,0.71186,0.67356,0.72136,0.43602,1.46445,1.12031,1.11266,0.00137241,0.00137241,0.00137241
6,794.631,1.44441,1.13219,1.08984,0.77655,0.73009,0.78373,0.48422,1.41943,0.98824,1.08478,0.00135826,0.00135826,0.00135826
7,921.958,1.43681,1.08998,1.08884,0.7765,0.71905,0.79296,0.49519,1.40907,0.98953,1.07864,0.00134412,0.00134412,0.00134412
8,1049.21,1.41065,1.10005,1.07438,0.77818,0.72589,0.77522,0.48751,1.37721,0.94321,1.06762,0.00132997,0.00132997,0.00132997
9,1176.52,1.40189,1.02446,1.06478,0.80306,0.7599,0.82138,0.50948,1.41413,0.92072,1.08587,0.00131582,0.00131582,0.00131582
10,1303.87,1.36914,0.98736,1.05751,0.81727,0.75947,0.81256,0.51722,1.39816,0.87078,1.07395,0.00130168,0.00130168,0.00130168
11,1431.21,1.36283,0.96162,1.0542,0.7941,0.75152,0.80033,0.49803,1.40432,0.91978,1.05367,0.00128753,0.00128753,0.00128753
12,1558.47,1.35721,0.95484,1.04861,0.82912,0.77282,0.83038,0.53318,1.34323,0.84392,1.05169,0.00127338,0.00127338,0.00127338
