epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.649,1.74575,2.1629,1.25204,0.69945,0.61104,0.66314,0.36067,1.60556,1.43443,1.20623,0.000475381,0.000475381,0.000475381
2,240.184,1.56854,1.46071,1.1436,0.74937,0.65639,0.7211,0.41242,1.48611,1.32679,1.15528,0.000942292,0.000942292,0.000942292
3,355.996,1.50685,1.30438,1.12532,0.73141,0.66895,0.7324,0.42087,1.53449,1.1699,1.17104,0.00139977,0.00139977,0.00139977
4,471.178,1.47811,1.2252,1.11138,0.79958,0.71279,0.79006,0.47259,1.4672,1.04962,1.13543,0.00138656,0.00138656,0.00138656
5,584.761,1.46838,1.1424,1.10505,0.73607,0.71887,0.76674,0.47256,1.42163,1.05704,1.11338,0.00137241,0.00137241,0.00137241
6,696.932,1.4324,1.10572,1.09555,0.82618,0.73686,0.81801,0.50412,1.43334,0.9735,1.12284,0.00135826,0.00135826,0.00135826
7,808.995,1.40498,1.04721,1.08273,0.82732,0.73408,0.83087,0.53152,1.35271,0.93691,1.08039,0.00134412,0.00134412,0.00134412
8,922.94,1.41467,1.03783,1.07928,0.82142,0.7694,0.83631,0.535,1.34089,0.91748,1.07544,0.00132997,0.00132997,0.00132997
9,1037.15,1.38983,0.99432,1.06709,0.8469,0.76478,0.84379,0.53424,1.34302,0.88595,1.0786,0.00131582,0.00131582,0.00131582
10,1150.81,1.369,0.96706,1.06346,0.85653,0.75746,0.84018,0.52927,1.35915,0.90725,1.07091,0.00130168,0.00130168,0.00130168
11,1266.43,1.35379,0.93328,1.05598,0.81726,0.77429,0.84991,0.5451,1.33276,0.88299,1.06232,0.00128753,0.00128753,0.00128753
12,1383.65,1.34092,0.92698,1.04845,0.8327,0.78172,0.85374,0.55655,1.33413,0.83158,1.06516,0.00127338,0.00127338,0.00127338
