epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.074,1.7303,2.17848,1.24332,0.63614,0.58537,0.6028,0.33054,1.56425,1.52781,1.14423,0.000475381,0.000475381,0.000475381
2,252.105,1.54718,1.4528,1.14202,0.73119,0.62634,0.67752,0.3805,1.53705,1.49559,1.16296,0.000942292,0.000942292,0.000942292
3,365.14,1.50766,1.31933,1.12868,0.76248,0.63513,0.71104,0.4117,1.57081,1.14192,1.17067,0.00139977,0.00139977,0.00139977
4,477.827,1.48341,1.23573,1.11699,0.77539,0.7036,0.76084,0.45597,1.48196,1.04329,1.12024,0.00138656,0.00138656,0.00138656
5,590.357,1.45421,1.1511,1.10446,0.74123,0.68211,0.73475,0.45692,1.43638,1.06059,1.10414,0.00137241,0.00137241,0.00137241
6,702.934,1.42364,1.10214,1.08762,0.81262,0.72194,0.79466,0.49359,1.42069,1.00002,1.09676,0.00135826,0.00135826,0.00135826
7,815.502,1.42432,1.07175,1.09435,0.76715,0.73265,0.78017,0.47902,1.42628,0.99856,1.09268,0.00134412,0.00134412,0.00134412
8,927.901,1.40611,1.0709,1.07998,0.79324,0.7366,0.78856,0.49219,1.39407,0.94418,1.08198,0.00132997,0.00132997,0.00132997
9,1040.3,1.38514,0.98627,1.06707,0.83223,0.7437,0.81734,0.51457,1.39987,0.90079,1.08487,0.00131582,0.00131582,0.00131582
10,1152.76,1.36578,0.96108,1.06586,0.84284,0.75818,0.8271,0.52439,1.39234,0.84983,1.07908,0.00130168,0.00130168,0.00130168
11,1265.3,1.3579,0.93972,1.06043,0.81736,0.76962,0.82496,0.53242,1.35663,0.86885,1.06334,0.00128753,0.00128753,0.00128753
12,1377.82,1.34756,0.94182,1.04973,0.83803,0.77358,0.83513,0.52872,1.3703,0.84309,1.06432,0.00127338,0.00127338,0.00127338
13,1490.19,1.3279,0.88843,1.03803,0.81252,0.7903,0.84425,0.54798,1.3274,0.82284,1.04906,0.00125923,0.00125923,0.00125923
14,1602.86,1.32173,0.88183,1.04132,0.85649,0.75854,0.83989,0.53925,1.34677,0.8166,1.05377,0.00124509,0.00124509,0.00124509
15,1715.27,1.33411,0.87182,1.03801,0.86592,0.76329,0.84317,0.55503,1.33855,0.81162,1.05303,0.00123094,0.00123094,0.00123094
16,1827.74,1.30929,0.86344,1.03464,0.84791,0.78457,0.85028,0.55835,1.32401,0.7872,1.04465,0.00121679,0.00121679,0.00121679
17,1940.09,1.28405,0.83925,1.03224,0.84441,0.78252,0.85037,0.55684,1.33869,0.79349,1.04982,0.00120265,0.00120265,0.00120265
18,2052.62,1.28609,0.8167,1.02685,0.84387,0.79544,0.85648,0.56408,1.31148,0.75322,1.03359,0.0011885,0.0011885,0.0011885
19,2165.22,1.2777,0.81097,1.01851,0.84618,0.80276,0.8641,0.56314,1.32688,0.75016,1.03199,0.00117435,0.00117435,0.00117435
20,2277.71,1.28439,0.81118,1.02249,0.81157,0.81054,0.85081,0.55815,1.32453,0.761,1.03754,0.00116021,0.00116021,0.00116021
21,2390.12,1.261,0.79053,1.01536,0.84336,0.79352,0.86307,0.57038,1.29358,0.72928,1.03049,0.00114606,0.00114606,0.00114606
22,2502.63,1.27206,0.78969,1.01199,0.86496,0.79863,0.86679,0.58089,1.27834,0.73155,1.02826,0.00113191,0.00113191,0.00113191
23,2615.18,1.25687,0.77503,1.00935,0.86516,0.80051,0.87114,0.58029,1.30484,0.72205,1.02771,0.00111776,0.00111776,0.00111776
24,2727.61,1.25693,0.76907,1.01252,0.8521,0.80309,0.86897,0.59078,1.26476,0.72145,1.01418,0.00110362,0.00110362,0.00110362
25,2840.01,1.23763,0.76145,1.00189,0.88087,0.78852,0.86391,0.58645,1.27905,0.70864,1.01994,0.00108947,0.00108947,0.00108947
26,2952.46,1.24515,0.75025,1.00586,0.87523,0.81755,0.87633,0.58816,1.27584,0.69414,1.01114,0.00107532,0.00107532,0.00107532
27,3064.92,1.23127,0.74809,0.99839,0.89192,0.79665,0.87552,0.60217,1.24812,0.68533,1.00656,0.00106118,0.00106118,0.00106118
28,3177.36,1.21954,0.73164,0.99792,0.87716,0.79978,0.86963,0.58865,1.26047,0.69884,1.01011,0.00104703,0.00104703,0.00104703
29,3289.84,1.22709,0.7334,0.9955,0.87223,0.81097,0.87838,0.59717,1.25315,0.67898,1.00693,0.00103288,0.00103288,0.00103288
30,3402.14,1.21476,0.73087,0.99756,0.8931,0.8139,0.88482,0.59898,1.2663,0.67588,1.01082,0.00101873,0.00101873,0.00101873
31,3514.43,1.21824,0.72667,0.99765,0.88138,0.81931,0.88263,0.59221,1.25916,0.68133,1.00552,0.00100459,0.00100459,0.00100459
32,3626.84,1.20108,0.70716,0.98725,0.87348,0.82852,0.88117,0.60477,1.23891,0.65912,1.00457,0.00099044,0.00099044,0.00099044
33,3739.4,1.20113,0.70704,0.99131,0.88942,0.82334,0.88534,0.60573,1.24968,0.66877,1.00544,0.000976293,0.000976293,0.000976293
34,3851.78,1.19743,0.69458,0.98714,0.88419,0.82012,0.88907,0.60843,1.24871,0.6623,1.00245,0.000962146,0.000962146,0.000962146
35,3964.45,1.18334,0.69059,0.97867,0.88541,0.81834,0.88739,0.61355,1.23362,0.66298,0.99195,0.000947999,0.000947999,0.000947999
36,4076.83,1.17284,0.67923,0.98483,0.87561,0.8184,0.8819,0.60398,1.24042,0.65322,1.00465,0.000933851,0.000933851,0.000933851
37,4189.22,1.16753,0.67904,0.97945,0.8952,0.82003,0.88494,0.61606,1.21713,0.63798,0.99778,0.000919704,0.000919704,0.000919704
38,4301.78,1.18668,0.69162,0.98066,0.89475,0.81678,0.8802,0.61683,1.20445,0.65889,0.98747,0.000905557,0.000905557,0.000905557
39,4414.55,1.16988,0.67813,0.97587,0.90739,0.82243,0.89599,0.62531,1.22524,0.63958,0.99345,0.00089141,0.00089141,0.00089141
40,4529.25,1.16393,0.66983,0.98043,0.88833,0.82168,0.8842,0.61893,1.21023,0.63547,0.99122,0.000877263,0.000877263,0.000877263
41,4643.58,1.16681,0.66024,0.97641,0.89272,0.83484,0.89303,0.6256,1.20561,0.62692,0.98819,0.000863116,0.000863116,0.000863116
42,4758.61,1.16576,0.66549,0.97227,0.89232,0.83573,0.89615,0.62819,1.21588,0.61979,0.98822,0.000848969,0.000848969,0.000848969
43,4874.73,1.13915,0.64731,0.96525,0.91325,0.83353,0.89828,0.63663,1.18791,0.60645,0.98052,0.000834822,0.000834822,0.000834822
44,4990.64,1.14554,0.65392,0.97039,0.89649,0.83588,0.89534,0.62785,1.20498,0.61804,0.9811,0.000820675,0.000820675,0.000820675
45,5104.02,1.14086,0.64441,0.97037,0.90958,0.83045,0.89742,0.62179,1.22127,0.61951,0.98857,0.000806528,0.000806528,0.000806528
46,5218.2,1.12925,0.63458,0.9624,0.91269,0.83853,0.89947,0.63306,1.1914,0.60985,0.98315,0.00079238,0.00079238,0.00079238
47,5331.13,1.12402,0.63017,0.96449,0.90086,0.84232,0.89949,0.64231,1.16274,0.60886,0.977,0.000778233,0.000778233,0.000778233
48,5451.1,1.12875,0.63916,0.96772,0.90562,0.83743,0.90147,0.63045,1.19942,0.60691,0.98453,0.000764086,0.000764086,0.000764086
49,5569.09,1.13454,0.6365,0.9624,0.907,0.84962,0.90359,0.63997,1.17547,0.58999,0.97977,0.000749939,0.000749939,0.000749939
50,5686.23,1.12622,0.63002,0.96353,0.89876,0.8541,0.90456,0.64512,1.1678,0.58957,0.97496,0.000735792,0.000735792,0.000735792
51,5800.49,1.12496,0.62666,0.95935,0.90617,0.85133,0.9063,0.64926,1.16071,0.59167,0.97345,0.000721645,0.000721645,0.000721645
52,5914.7,1.11557,0.62217,0.95975,0.89521,0.84745,0.89977,0.6513,1.13775,0.58565,0.96998,0.000707498,0.000707498,0.000707498
