epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.493,2.19768,3.10012,1.39004,0.30305,0.18788,0.14752,0.06825,2.21653,2.31168,1.3172,0.000474782,0.000474782,0.000474782
2,110.97,2.16087,2.45955,1.31603,0.35955,0.23624,0.18363,0.08553,2.18954,2.19493,1.33079,0.000904035,0.000904035,0.000904035
3,162.63,2.1311,2.27373,1.31587,0.34689,0.2246,0.19339,0.08765,2.16006,2.05418,1.35616,0.00128613,0.00128613,0.00128613
4,213.394,2.09358,2.16917,1.28554,0.51312,0.25186,0.24158,0.11635,2.09589,1.86419,1.28328,0.00121679,0.00121679,0.00121679
5,265.22,2.12295,2.05485,1.28728,0.54093,0.26425,0.24189,0.10954,2.12062,1.8476,1.31493,0.00114606,0.00114606,0.00114606
6,316.648,2.07819,1.9856,1.25632,0.48728,0.26989,0.25924,0.12592,2.08063,1.71632,1.27206,0.00107532,0.00107532,0.00107532
7,367.637,2.05616,1.90224,1.26092,0.45602,0.29447,0.26977,0.13094,2.08003,1.66336,1.28271,0.00100459,0.00100459,0.00100459
8,418.895,2.0302,1.82589,1.23229,0.61889,0.26416,0.27358,0.13159,2.09204,1.66341,1.27004,0.000933851,0.000933851,0.000933851
9,470.01,2.01203,1.80923,1.24181,0.53718,0.2755,0.28567,0.143,2.05161,1.63353,1.26972,0.000863116,0.000863116,0.000863116
10,521.163,1.98347,1.76562,1.21145,0.52749,0.28332,0.29537,0.14784,2.03152,1.60413,1.25677,0.00079238,0.00079238,0.00079238
11,571.827,1.96582,1.77334,1.26361,0.62806,0.26796,0.28696,0.14658,2.02878,1.56397,1.26022,0.000721645,0.000721645,0.000721645
12,622.384,1.96472,1.73666,1.249,0.70824,0.26188,0.28743,0.1444,2.06107,1.58636,1.25951,0.000650909,0.000650909,0.000650909
13,672.762,1.94593,1.65914,1.23242,0.62361,0.28287,0.29024,0.14443,2.05011,1.54202,1.26801,0.000580174,0.000580174,0.000580174
14,723.095,1.90424,1.62395,1.2248,0.64779,0.27321,0.30069,0.1445,2.06397,1.54982,1.25144,0.000509438,0.000509438,0.000509438
15,773.197,1.9241,1.60753,1.21896,0.54373,0.29881,0.29389,0.14923,2.03582,1.53178,1.24891,0.000438703,0.000438703,0.000438703
16,823.472,1.89648,1.57879,1.20701,0.53554,0.30118,0.30019,0.15013,2.02073,1.50577,1.24168,0.000367967,0.000367967,0.000367967
17,873.765,1.85467,1.55938,1.19245,0.59978,0.29914,0.30733,0.15488,2.01202,1.47219,1.2382,0.000297232,0.000297232,0.000297232
18,924.082,1.86875,1.52143,1.1881,0.5207,0.312,0.30971,0.16023,2.0035,1.44225,1.24421,0.000226497,0.000226497,0.000226497
19,974.318,1.86326,1.46776,1.17059,0.55777,0.30345,0.31226,0.16215,2.0018,1.44244,1.23502,0.000155761,0.000155761,0.000155761
20,1024.35,1.83655,1.49198,1.17198,0.62883,0.29563,0.31636,0.16375,1.99684,1.43572,1.23407,8.50255e-05,8.50255e-05,8.50255e-05
